descricao;energia_kcal;proteina_g;lipideos_g;colesterol_mg;carboidratos_g;fibra_g;calcio_mg;fosforo_mg;ferro_mg;sodio_mg;potassio_mg;vitamina_c_mg;tipo_alimento
Couve, manteiga, refogada ;90;1,7;6,6;NA;8,7;5,7;177;33;0,5;11;315;76,9;2
Couve-flor, crua;23;1,9;0,2;NA;4,5;2,4;18;57;0,5;3;256;36,1;2
Couve-flor, cozida;19;1,2;0,3;NA;3,9;2,1;16;25;0,1;2;80;23,7;2
Espinafre, Nova Zelândia, cru;16;2,0;0,2;NA;2,6;2,1;98;25;0,4;17;336;2,4;2
Espinafre, Nova Zelândia, refogado;67;2,7;5,4;NA;4,2;2,5;112;34;0,6;47;149;5,3;2
Farinha, de mandioca, crua;361;1,6;0,3;NA;87,9;6,4;65;42;1,1;1;340;Tr;2
Farinha, de mandioca, torrada;365;1,2;0,3;NA;89,2;6,5;76;39;1,2;10;328;Tr;2
Farinha, de puba;360;1,6;0,5;NA;87,3;4,2;41;33;1,4;4;338;Tr;2
Fécula, de mandioca;331;0,5;0,3;NA;81,1;0,6;12;60;0,1;2;48;Tr;2
Feijão, broto, cru;39;4,2;0,1;NA;7,8;2,0;14;75;0,8;2;189;12,0;2
Inhame, cru;97;2,1;0,2;NA;23,2;1,7;12;65;0,4;Tr;568;5,6;2
Jiló, cru;27;1,4;0,2;NA;6,2;4,8;20;29;0,3;Tr;213;6,8;2
Jurubeba, crua;126;4,4;3,9;NA;23,1;23,9;151;155;0,9;1;619;13,8;2
Mandioca, cozida;125;0,6;0,3;NA;30,1;1,6;19;22;0,1;1;100;11,1;2
Mandioca, crua;151;1,1;0,3;NA;36,2;1,9;15;29;0,3;2;208;16,5;2
Mandioca, farofa, temperada;406;2,1;9,1;NA;80,3;7,8;66;45;1,4;575;201;Tr;2
Mandioca, frita;300;1,4;11,2;NA;50,3;1,9;23;57;0,3;9;176;Tr;2
Manjericão, cru;21;2,0;0,4;NA;3,6;3,3;211;40;1,0;4;252;2,3;2
Maxixe, cru;14;1,4;0,1;NA;2,7;2,2;21;25;0,4;11;328;9,6;2
Mostarda, folha, crua;18;2,1;0,2;NA;3,2;1,9;68;58;1,1;3;364;38,6;2
Nhoque, batata, cozido;181;5,9;1,9;15;36,8;1,8;11;68;1,6;7;164;Tr;2
Nabo, cru;18;1,2;0,1;NA;4,1;2,6;42;17;0,2;2;280;9,6;2
Palmito, juçara, em conserva;23;1,8;0,4;NA;4,3;3,2;58;40;0,3;514;244;2,0;2
Palmito, pupunha, em conserva;29;2,5;0,5;NA;5,5;2,6;32;55;0,2;563;206;8,7;2
Pão, de queijo, assado;363;5,1;24,6;68;34,2;0,6;102;94;0,3;773;93; ;2
